"Year","Organism","Frequency"
"2019","Salmonella sp. Group C1",5
"2019","Salmonella sp. Group C2",1
"2019","Salmonella sp. Group E1",3
"2019","Salmonella sp.(Poly A)",1
"2019","Serratia fonticola",1
"2019","Serratia liquefaciens",1
"2019","Serratia marcescens",6
"2019","Staphylococcus aureus",21
"2019","Staphylococcus coagulase Culture Negative Group",28
"2019","Staphylococcus delphini",2
"2019","Staphylococcus epidermidis",1
"2019","Staphylococcus felis",3
"2019","Staphylococcus hominis ss hominis",1
"2019","Staphylococcus pseudintermedius",209
"2019","Staphylococcus schleiferi",20
"2019","Staphylococcus sp.",5
"2019","Stenotrophomonas maltophilia",4
"2019","Stenotrophomonas sp.",1
"2019","Streptococcus agalactiae",1
"2019","Streptococcus alpha hemolytic",13
"2019","Streptococcus beta group - C",5
"2019","Streptococcus beta group - G",2
"2019","Streptococcus canis",52
"2019","Streptococcus dys. ss dysgalactiae",6
"2019","Streptococcus dysgalactiae",1
"2019","Streptococcus equi ss zooepidemicus",21
"2019","Streptococcus equi ssp equi",1
"2019","Streptococcus gallolyticus",1
"2019","Streptococcus halichoeri",4
"2019","Streptococcus lutetiensis",1
"2019","Streptococcus pneumoniae",3
"2019","Streptococcus suis",1
"2019","Streptococcus suis 16",1
"2019","Trueperella bernardiae",1
"2019","Trueperella pyogenes",7
"2019","Vibrio cholerae",1
"2019","Yokenella regensburgei",1
"2020","Acinetobacterer sp.",1
"2020","Actinobacillus equuli ss haemolyticus",1
"2020","Actinobacillus pleuropneumoniae",1
"2020","Actinobacillus sp.",1
"2020","Actinobacillus suis",4
"2020","Actinomyces canis",2
"2020","Actinomyces hyovaginalis",3
"2020","Actinomyces sp.",1
"2020","Aerococcus viridans",1
"2020","Aeromonas hydrophila /caviae",1
"2020","Aeromonas hydrophila complex",2
"2020","Aeromonas hydrophila/caviae",1
"2020","Aeromonas sobria",1
"2020","Alcaligenes faecalis ss faecalis",1
"2020","Alcaligenes sp.",1
"2020","Alpha strep not suis",1
"2020","Bibersteinia trehalosi",3
"2020","Bordetella bronchiseptica",4
"2020","Capnocytophaga cynodegmi",2
"2020","Chryseobacterium gleum",1
"2020","Citrobacter freundii",4
"2020","Citrobacter koseri",2
"2020","Corynebacterium amycolatum",4
"2020","Corynebacterium auriscanis",6
"2020","Corynebacterium bovis",2
"2020","Corynebacterium ulcerans",1
"2020","Corynebacterium urealyticum",1
"2020","Culture Negative",2968
"2020","Curtobacterium sp.",1
"2020","Delftia acidovorans",1
"2020","Enterobacter asburiae",1
"2020","Enterobacter cloacae",15
"2020","Enterobacter hormaechei",1
"2020","Enterobacter ludwigii",1
"2020","Enterococcus avium",1
"2020","Enterococcus canis",2
"2020","Enterococcus casseliflavus",1
"2020","Enterococcus faecalis",55
"2020","Enterococcus faecium",16
"2020","Enterococcus sp.",9
"2020","Erysipelothrix rhusiopathiae",1
"2020","Escherichia coli",253
"2020","Escherichia coli - haemolytic",1
"2020","Haemophilus haemoglobinophilus",2
"2020","Haemophilus haemolyticus",1
"2020","Histophilus somni",1
"2020","Klebsiella aerogenes",1
"2020","Klebsiella oxytoca",6
"2020","Klebsiella pneumoniae",18
"2020","Klebsiella sp.",5
"2020","Klebsiella variicola",2
"2020","Kosakonia cowanii",1
"2020","Mannheimia haemolytica",2
"2020","Moraxella canis",2
"2020","Moraxella sp.",1
"2020","Moraxella spp",1
"2020","Morganella morgani ss morganii",4
"2020","Ochrobactrum anthropi",1
"2020","Pantoea agglomerans",1
"2020","Pantoea sp.",1
"2020","Pasteurella canis",11
"2020","Pasteurella dagmatis",2
"2020","Pasteurella multocida",16
"2020","Proteus hauseri",4
"2020","Proteus mirabilis",58
"2020","Proteus sp.",2
"2020","Proteus vulgaris",4
"2020","Providencia rettgeri",1
"2020","Providencia stuartii",1
"2020","Pseudomonas aeruginosa",42
"2020","Pseudomonas mendocina",1
"2020","Rhodococcus equi",3
"2020","Salmonella sp.",8
"2020","Serratia marcescens",2
"2020","Shewanella putrefaciens",1
"2020","Staphylococcus aureus",19
"2020","Staphylococcus coagulase Culture Negative Group",10
"2020","Staphylococcus delphini",1
"2020","Staphylococcus epidermidis",1
"2020","Staphylococcus felis",3
"2020","Staphylococcus pseudintermedius",133
"2020","Staphylococcus schleiferi",11
"2020","Stenotrophomonas maltophilia",1
"2020","Streptococcus agalactiae",1
"2020","Streptococcus alpha hemolytic",4
"2020","Streptococcus canis",46
"2020","Streptococcus dys. ss dysgalactiae",4
"2020","Streptococcus equi ss zooepidemicus",21
"2020","Streptococcus equi ssp equi",2
"2020","Streptococcus gallolyticus",1
"2020","Streptococcus halichoeri",1
"2020","Streptococcus minor",1
"2020","Streptococcus mitis",1
"2020","Streptococcus suis XXXIV",2
"2020","Streptococcus uberis",1
"2020","Trueperella abortisuis",3
"2020","Trueperella bernardiae",1
"2020","Trueperella pyogenes",19
"2021","Acinetobacterer sp.",1
"2021","Actinobacillus equuli",2
"2021","Actinobacillus equuli ss equuli",1
"2021","Actinobacillus pleuropneumoniae",2
"2021","Actinobacillus sp.",4
"2021","Actinomyces canis",3
"2021","Actinomyces hyovaginalis",2
"2021","Actinomyces sp.",6
"2021","Bordetella bronchiseptica",4
"2021","Corynebacterium amycolatum",6
"2021","Corynebacterium auriscanis",10
"2021","Corynebacterium sp.",4
"2021","Corynebacterium ulcerans",1
"2021","Corynebacterium urealyticum",3
"2021","Culture Negative",3550
"2021","Enterobacter asburiae",1
"2021","Enterobacter cloacae",14
"2021","Enterobacter ludwigii",1
"2021","Enterobacter sp.",5
"2021","Enterococcus faecalis",62
"2021","Enterococcus faecium",24
"2021","Enterococcus sp.",13
"2021","Enterococus faecalis",1
"2021","Escherichia coli",246
"2021","Gallibacterium anatis (Pasteurella)",1
"2021","Gramnegative organism",1
"2021","Grampositive coccus",3
"2021","Haemophilus haemoglobinophilus",2
"2021","Klebsiella aerogenes (Enterobacter)",3
"2021","Klebsiella oxytoca",7
"2021","Klebsiella pneumoniae",21
"2021","Klebsiella variicola",1
"2021","Leclercia adecarboxylata",1
"2021","Moraxella ovis",2
"2021","Moraxella sp.",1
"2021","Moraxellapluranima",2
"2021","Morganella morganii",1
"2021","Morganella morganii (Proteus)",1
"2021","Neisseria animaloris",1
"2021","Neisseria mucosa",1
"2021","Neisseria sp.",2
"2021","Neisseria weaveri",2
"2021","Nocardia sp",1
"2021","Pasteurella canis",10
"2021","Pasteurella dagmatis",3
"2021","Pasteurella multocida",9
"2021","Pasteurella stomatis",1
"2021","Pluralibacter gergoviae",1
"2021","Proteus hauseri",4
"2021","Proteus mirabilis",77
"2021","Pseudomonas aeruginosa",33
"2021","Pseudomonas sp.",1
"2021","Rhizobium radiobacter",1
"2021","Rhodococcus equi",2
"2021","Rothia nasimurium",1
"2021","Salmonella sp.",28
"2021","Salmonella sp. Group E1",1
"2021","Serratia marcescens",3
"2021","Staphylococcus aureus",19
"2021","Staphylococcus coagulase Culture Negative Group",5
"2021","Staphylococcus coagulase-Culture Negative",9
"2021","Staphylococcus epidermidis",1
"2021","Staphylococcus felis",3
"2021","Staphylococcus hyicus",1
"2021","Staphylococcus pseudintermedius",218
"2021","Staphylococcus schleiferi",21
"2021","Staphylococcus sp.",1
"2021","Streptococcus agalactiae",2
"2021","Streptococcus beta haemolytic",1
"2021","Streptococcus canis",85
"2021","Streptococcus dys. ss dysgalactiae",1
"2021","Streptococcus equi",3
"2021","Streptococcus equi spp zooepidemicus",18
"2021","Streptococcus equi ss zooepidemicus",4
"2021","Streptococcus equi ssp equi",8
"2021","Streptococcus pneumoniae",1
"2021","Streptococcus porcinus",1
"2021","Streptococcus sp.",2
"2021","Streptococcus sp. alpha hemolytic",5
"2021","Streptococcus suis XIII",1
"2021","Trueperella pyogenes",6
"2021","Trueperella pyogenes (Actinomyces/Corynebacterium)",7
"2022","Acinetobacterer baumannii",2
"2022","Actinobacillus equuli spp equuli",2
"2022","Actinobacillus rossii",2
"2022","Actinobacillus suis",1
"2022","Actinomyces sp.",3
"2022","Aeromonas veronii",1
"2022","Arcanobacterium sp.",1
"2022","Bacillus cereus",1
"2022","Bacillus megaterium",1
"2022","Bordetella bronchiseptica",3
"2022","Bordetella hinzii",1
"2022","Buchananella hordeovulneris",1
"2022","Burkholderia multivorans",1
"2022","Citrobacter freundii",2
"2022","Citrobacter sedlakii",2
"2022","Corynebacterium amycolatum",3
"2022","Corynebacterium auriscanis",5
"2022","Corynebacterium pseudotuberculosis",1
"2022","Corynebacterium resistens",1
"2022","Corynebacterium sp.",5
"2022","Corynebacterium urealyticum",1
"2022","Culture Negative",3777
"2022","Enterobacter asburiae",11
"2022","Enterobacter bugandensis",3
"2022","Enterobacter cloacae",16
"2022","Enterobacter kobei",1
"2022","Enterobacter ludwigii",4
"2022","Enterobacter sp.",6
"2022","Enterococcus faecalis",57
"2022","Enterococcus faecium",22
"2022","Enterococcus sp.",9
"2022","Escherichia coli",295
"2022","Escherichia hermannii",1
"2022","Haemophilus haemoglobinophilus",1
"2022","Klebsiella aerogenes (Enterobacter)",7
"2022","Klebsiella oxytoca",4
"2022","Klebsiella pneumoniae",6
"2022","Klebsiella variicola",6
"2022","Lactobacillus murinus",1
"2022","Mannheimia haemolytica",2
"2022","Moraxella bovoculi",2
"2022","Moraxella canis",1
"2022","Morganella morganii (Proteus)",1
"2022","Neisseria animaloris",1
"2022","Neisseria sp.",1
"2022","Pantoea agglomerans (Enterobacter)",1
"2022","Pasteurella canis",5
"2022","Pasteurella dagmatis",1
"2022","Pasteurella multocida",9
"2022","Proteus hauseri",2
"2022","Proteus mirabilis",53
"2022","Proteus sp.",1
"2022","Proteus vulgaris",3
"2022","Pseudomonas aeruginosa",38
"2022","Rhodococcus equi",1
"2022","Rhodococcus sp.",1
"2022","Salmonella Group C1",1
"2022","Salmonella sp.",12
"2022","Salmonella sp. E1",1
"2022","Salmonella sp. Group 18",1
"2022","Salmonella sp. Group B",3
"2022","Salmonella sp. Group C1",1
"2022","Salmonella sp. Group C2",5
"2022","Salmonella sp. Group E1",17
"2022","Salmonella sp. group C1/C2",1
"2022","Salmonella sp. group E1",1
"2022","Salmonella sp. group E1/E4",1
"2022","Serratia marcescens",3
"2022","Serratia sp.",1
"2022","Staphylococcus aureus",26
"2022","Staphylococcus coagulase-Culture Negative",14
"2022","Staphylococcus delphini",2
"2022","Staphylococcus epidermidis",1
"2022","Staphylococcus felis",2
"2022","Staphylococcus pseudintermedius",175
"2022","Staphylococcus schleiferi",9
"2022","Staphylococcus sp.",1
"2022","Stenotrophomonas maltophilia (Xanthomonas)",2
"2022","Streptococcus agalactiae",1
"2022","Streptococcus canis",89
"2022","Streptococcus dysgalactiae",6
"2022","Streptococcus equi spp zooepidemicus",25
"2022","Streptococcus equi ssp equi",4
"2022","Streptococcus gallolyticus",2
"2022","Streptococcus sp.",5
"2022","Streptococcus sp. alpha hemolytic",1
"2022","Streptococcus uberis",1
"2022","Trueperella pyogenes (Actinomyces/Corynebacterium)",14
"2023","Acinetobacterer baumannii",2
"2023","Actinobacillus equuli",4
"2023","Actinobacillus rossii",1
"2023","Actinomyces bowdenii",1
"2023","Actinomyces hyovaginalis",1
"2023","Aeromonas salmonicida",2
"2023","Arcanobacterium haemolyticum",1
"2023","Bacillus cereus",1
"2023","Bacillus sp.",1
"2023","Bordetella bronchiseptica",2
"2023","Bordetella trematum",1
"2023","Chryseobacterium sp.",1
"2023","Corynebacterium amycolatum",6
"2023","Corynebacterium auriscanis",18
"2023","Corynebacterium mastitidis",1
"2023","Corynebacterium resistens",1
"2023","Corynebacterium sp.",7
"2023","Corynebacterium urealyticum",2
"2023","Culture Negative",3657
"2023","Enterobacter bugandensis",4
"2023","Enterobacter hormaechei",30
"2023","Enterobacter ludwigii",1
"2023","Enterobacter sp.",4
"2023","Enterococcus faecalis",62
"2023","Enterococcus faecium",29
"2023","Enterococcus sp.",12
"2023","Escherichia coli",250
"2023","Gramnegative organism",1
"2023","Haemophilus haemoglobinophilus",6
"2023","Klebsiella aerogenes (Enterobacter)",9
"2023","Klebsiella oxytoca",8
"2023","Klebsiella pneumoniae",11
"2023","Lactococcus lactis",1
"2023","Moraxella canis",3
"2023","Moraxella sp.",1
"2023","Morganella morganii (Proteus)",1
"2023","Neisseria animaloris",1
"2023","Neisseria zoodegmatis",1
"2023","Oligella urethralis",1
"2023","Pasteurella canis",7
"2023","Pasteurella dagmatis",2
"2023","Pasteurella multocida",14
"2023","Pasteurella sp.",1
"2023","Proteus mirabilis",66
"2023","Proteus vulgaris",2
"2023","Pseudomonas aeruginosa",43
"2023","Pseudomonas alcaliphila",1
"2023","Pseudomonas fulva",1
"2023","Raoultella ornithinolytica",1
"2023","Rhodococcus hoagii (Rhodococcus equi)",2
"2023","Salmonella 18",1
"2023","Salmonella C1",1
"2023","Salmonella sp.",11
"2023","Salmonella sp. Group B",6
"2023","Salmonella sp. Group C1",2
"2023","Salmonella sp. Group E1",1
"2023","Salmonella sp.Group C",1
"2023","Schaalia (Actinomyces) canis",1
"2023","Schaalia hyovaginalis",3
"2023","Serratia marcescens",4
"2023","Staphylococcus aureus",37
"2023","Staphylococcus coagulase-Culture Negative",7
"2023","Staphylococcus delphini",2
"2023","Staphylococcus felis",13
"2023","Staphylococcus hyicus",1
"2023","Staphylococcus pseudintermedius",168
"2023","Staphylococcus schleiferi",17
"2023","Staphylococcus simulans",2
"2023","Stenotrophomonas maltophilia (Xanthomonas)",1
"2023","Streptococcus canis",89
"2023","Streptococcus didelphis",1
"2023","Streptococcus dysgalactiae",7
"2023","Streptococcus equi",2
"2023","Streptococcus equi spp zooepidemicus",31
"2023","Streptococcus equi ssp equi",8
"2023","Streptococcus pneumoniae",1
"2023","Streptococcus sp.",3
"2023","Streptococcus sp. alpha hemolytic",5
"2023","Trueperella bernardiae",1
"2023","Trueperella pyogenes",1
"2023","Trueperella pyogenes (Actinomyces/Corynebacterium)",10
"2024","Acinetobacterer sp.",1
"2024","Actinobacillus equuli",2
"2024","Actinobacillus lignieresii",1
"2024","Actinobacillus suis",2
"2024","Actinomyces bowdenii",2
"2024","Aerococcus viridans",1
"2024","Aeromonas hydrophila",1
"2024","Arcanobacterium sp.",3
"2024","Bacillus pumilus",1
"2024","Bordetella bronchiseptica",2
"2024","Buchananella hordeovulneris",1
"2024","Citrobacter koseri",1
"2024","Corynebacterium amycolatum",1
"2024","Corynebacterium auriscanis",1
"2024","Corynebacterium diphtheriae",1
"2024","Corynebacterium kutscheri",2
"2024","Corynebacterium pseudotuberculosis",1
"2024","Corynebacterium ulcerans",2
"2024","Corynebacterium urealyticum",2
"2024","Culture Negative",2513
"2024","Enterobacter hormaechei",7
"2024","Enterococcus avium",2
"2024","Enterococcus faecalis",33
"2024","Enterococcus faecium",16
"2024","Enterococcus gallinarum",1
"2024","Enterococcus sp.",16
"2024","Escherichia coli",148
"2024","Escherichia sp.",1
"2024","Flavobacterium sp.",1
"2024","Haemophilus haemoglobinophilus",1
"2024","Histophilus somni (Haemophilus somnus)",1
"2024","Klebsiella aerogenes (Enterobacter)",4
"2024","Klebsiella oxytoca",4
"2024","Klebsiella pneumoniae",10
"2024","Neisseria animaloris",1
"2024","Pantoea eucrina",1
"2024","Pasteurella canis",9
"2024","Pasteurella dagmatis",1
"2024","Pasteurella multocida",6
"2024","Proteus hauseri",1
"2024","Proteus mirabilis",26
"2024","Proteus vulgaris",3
"2024","Providencia rettgeri",1
"2024","Providencia rettgeri (Proteus)",3
"2024","Pseudomonas aeruginosa",25
"2024","Pseudomonas alcaligenes",1
"2024","Pseudomonas oleovorans",1
"2024","Raoultella ornithinolytica",1
"2024","Schaalia (Actinomyces) hyovaginalis",1
"2024","Schaalia canis",5
"2024","Schaalia hyovaginalis",3
"2024","Serratia marcescens",1
"2024","Staphylococcus aureus",19
"2024","Staphylococcus coagulase-Culture Negative",3
"2024","Staphylococcus delphini",1
"2024","Staphylococcus felis",8
"2024","Staphylococcus hyicus",2
"2024","Staphylococcus pseudintermedius",78
"2024","Staphylococcus schleiferi",2
"2024","Staphylococcus sp. coagulase-Culture Negative",1
"2024","Streptococcus agalactiae",1
"2024","Streptococcus canis",39
"2024","Streptococcus dysgalactiae",3
"2024","Streptococcus equi spp zooepidemicus",21
"2024","Streptococcus equi ssp equi",2
"2024","Streptococcus pneumoniae",2
"2024","Streptococcus porcinus",3
"2024","Streptococcus sp.",3
"2024","Streptococcus sp. alpha hemolytic",4
"2024","Trueperella abortisuis",1
"2024","Trueperella pyogenes",4
"2024","Trueperella pyogenes (Actinomyces/Corynebacterium)",6
NA,"Culture Negative",42
NA,"Escherichia coli",1
NA,NA,2
