Reason,updated_reason,Slizovskiy_reason
Resp distress,Uncategorized,
Resp distress,Uncategorized,
Resp distress,Uncategorized,
Broken Pelvis in 3 places    **ICU: 6/20**,Uncategorized,
possible listeria,Uncategorized,
possible listeria,Uncategorized,
possible listeria,Uncategorized,
urethra polps cystotomy *ICU 6/2,Uncategorized,
urethra polps cystotomy *ICU 6/2,Uncategorized,
urethra polps cystotomy *ICU 6/2,Uncategorized,
urethra polps cystotomy *ICU 6/2,Uncategorized,
urethra polps cystotomy *ICU 6/2,Uncategorized,
urethra polps cystotomy *ICU 6/2,Uncategorized,
urethra polps cystotomy *ICU 6/2,Uncategorized,
urethral collagen,Uncategorized,Urinary Issues
urethral collagen,Uncategorized,Urinary Issues
nose bleeding,Uncategorized,
MRI-Possible Study Candidate *ICU 6/3,Uncategorized,
workup,Uncategorized,
workup,Uncategorized,
workup,Uncategorized,
workup,Uncategorized,
workup,Uncategorized,
blood draw      **Tech: Linz**,Uncategorized,
severe prostatitis,Uncategorized,
severe prostatitis,Uncategorized,
severe prostatitis,Uncategorized,
severe prostatitis,Uncategorized,
urethral stones *severe reaction to Vetalog  *very aggressive     **ICU: 6/9**,Uncategorized,Urinary Issues
PT,Uncategorized,
PT,Uncategorized,
Attacked by german shepherd   **ICU 6/12/16*,Uncategorized,
Attacked by german shepherd   **ICU 6/12/16*,Uncategorized,
Attacked by german shepherd   **ICU 6/12/16*,Uncategorized,
Attacked by german shepherd   **ICU 6/12/16*,Uncategorized,
Attacked by german shepherd   **ICU 6/12/16*,Uncategorized,
Eval. for proteinuria,Uncategorized,
Eval. for proteinuria,Uncategorized,
possible broken leg,Uncategorized,
possible broken leg,Uncategorized,
possible broken leg,Uncategorized,
possible broken leg,Uncategorized,
Hemodialysis,Uncategorized,
Hemodialysis,Uncategorized,
urinating blood,Uncategorized,
"acute renal failure, anorexia    **ICU: 6/17**",Uncategorized,
"acute renal failure, anorexia    **ICU: 6/17**",Uncategorized,
"acute renal failure, anorexia    **ICU: 6/17**",Uncategorized,
"acute renal failure, anorexia    **ICU: 6/17**",Uncategorized,
"acute renal failure, anorexia    **ICU: 6/17**",Uncategorized,
"acute renal failure, anorexia    **ICU: 6/17**",Uncategorized,
"acute renal failure, anorexia    **ICU: 6/17**",Uncategorized,
"acute renal failure, anorexia    **ICU: 6/17**",Uncategorized,
"acute renal failure, anorexia    **ICU: 6/17**",Uncategorized,
"acute renal failure, anorexia    **ICU: 6/17**",Uncategorized,
unable to urinate,Uncategorized,
unable to urinate,Uncategorized,
Breathing concerns,Uncategorized,
Breathing concerns,Uncategorized,
Breathing concerns,Uncategorized,
Breathing concerns,Uncategorized,
Breathing concerns,Uncategorized,
Poss blocked,Uncategorized,
Poss blocked,Uncategorized,
possible Hernia that has gotten bigger so it may be something worse  *ICU 6/22,Uncategorized,
possible Hernia that has gotten bigger so it may be something worse  *ICU 6/22,Uncategorized,
possible Hernia that has gotten bigger so it may be something worse  *ICU 6/22,Uncategorized,
possible Hernia that has gotten bigger so it may be something worse  *ICU 6/22,Uncategorized,
possible Hernia that has gotten bigger so it may be something worse  *ICU 6/22,Uncategorized,
DLSS sx    **ICU: 6/15**,Uncategorized,
DLSS sx    **ICU: 6/15**,Uncategorized,
DLSS sx    **ICU: 6/15**,Uncategorized,
continue calcium work up,Uncategorized,
continue calcium work up,Uncategorized,
RT OSA     **ICU: 6/14**,Uncategorized,
RT OSA     **ICU: 6/14**,Uncategorized,
Eval Cholestasis     **ICU: 6/14**,Uncategorized,
Eval Cholestasis     **ICU: 6/14**,Uncategorized,
Eval Cholestasis     **ICU: 6/14**,Uncategorized,
hematoma L sinus,Uncategorized,
Eval. KCS,Uncategorized,
Eval. KCS,Uncategorized,
snotty nose,Uncategorized,
castration with gastropexy,Uncategorized,
ectopic ureter,Uncategorized,
ectopic ureter,Uncategorized,
Eval refractory pulmonary hypertension  ***ICU 6/15/16**,Uncategorized,
Eval refractory pulmonary hypertension  ***ICU 6/15/16**,Uncategorized,
MRI-decreased mentation *ICU 6/19,Uncategorized,
MRI-decreased mentation *ICU 6/19,Uncategorized,
BGC,Uncategorized,
BGC,Uncategorized,
Naval Hernia,Uncategorized,
Naval Hernia,Uncategorized,
work up pancreatic nodule and BGC,Uncategorized,
work up pancreatic nodule and BGC,Uncategorized,
"poss TECA, CT    **ICU: 6/21**",Uncategorized,HEENT
"poss TECA, CT    **ICU: 6/21**",Uncategorized,HEENT
"poss TECA, CT    **ICU: 6/21**",Uncategorized,HEENT
"poss TECA, CT    **ICU: 6/21**",Uncategorized,HEENT
kidney failure,Uncategorized,
kidney failure,Uncategorized,
sores     **ICU: 6/21**,Uncategorized,
sores     **ICU: 6/21**,Uncategorized,
sores     **ICU: 6/21**,Uncategorized,
"cholecystectomy, splenectomy (ST SX)     **ICU: 6/24**",Uncategorized,
"cholecystectomy, splenectomy (ST SX)     **ICU: 6/24**",Uncategorized,
"cholecystectomy, splenectomy (ST SX)     **ICU: 6/24**",Uncategorized,
"cholecystectomy, splenectomy (ST SX)     **ICU: 6/24**",Uncategorized,
Urinating alot drinking lots of water,Uncategorized,
Urinating alot drinking lots of water,Uncategorized,
Radiographs,Uncategorized,
Radiographs,Uncategorized,
Radiographs,Uncategorized,
Radiographs,Uncategorized,
Radiographs,Uncategorized,
Radiographs,Uncategorized,
Radiographs,Uncategorized,
Radiographs,Uncategorized,
Amputate leg *ICU 6/28*,Uncategorized,
Amputate leg *ICU 6/28*,Uncategorized,
nausea/ platelet concern  *ICU 6/29  JG,Uncategorized,
nausea/ platelet concern  *ICU 6/29  JG,Uncategorized,
Resp distress,Uncategorized,
REF: breathing issues,Uncategorized,
REF: breathing issues,Uncategorized,
Eval- trouble eating      **ICU 6/30/16,Uncategorized,
Eval- trouble eating      **ICU 6/30/16,Uncategorized,
Eval- trouble eating      **ICU 6/30/16,Uncategorized,
Eval- trouble eating      **ICU 6/30/16,Uncategorized,
"Right side of the face is droopy, breathing is labored",Uncategorized,
"Right side of the face is droopy, breathing is labored",Uncategorized,
"lung x-ray, trach wash",Uncategorized,
"lung x-ray, trach wash",Uncategorized,
frequent urination,Uncategorized,
frequent urination,Uncategorized,
anemic,Uncategorized,
anemic,Uncategorized,
anemic,Uncategorized,
anemic,Uncategorized,
anemic,Uncategorized,
severe kidney failure,Uncategorized,
severe kidney failure,Uncategorized,
Aborting foal,Uncategorized,
Aborting foal,Uncategorized,
hasn't eaten in 48hrs,Uncategorized,
hasn't eaten in 48hrs,Uncategorized,
Total knee revision     **ICU: 7/12**,Uncategorized,
Total knee revision     **ICU: 7/12**,Uncategorized,
Total knee revision     **ICU: 7/12**,Uncategorized,
Total knee revision     **ICU: 7/12**,Uncategorized,
Total knee revision     **ICU: 7/12**,Uncategorized,
Total knee revision     **ICU: 7/12**,Uncategorized,
Mandibular cyst *icu 7/8*,Uncategorized,
Mandibular cyst *icu 7/8*,Uncategorized,
Mandibular cyst *icu 7/8*,Uncategorized,
suture removal *Tech: Brit,Uncategorized,
suture removal *Tech: Brit,Uncategorized,
poss blocked,Uncategorized,
poss blocked,Uncategorized,
Rt perineal hernia *icu 7/8*,Uncategorized,
Rt perineal hernia *icu 7/8*,Uncategorized,
Rt perineal hernia *icu 7/8*,Uncategorized,
BCG *icu 7/7*,Uncategorized,
BCG *icu 7/7*,Uncategorized,
possible blockage,Uncategorized,
possible blockage,Uncategorized,
"eval, sores, scabs, hairloss",Uncategorized,
gait analysis,Uncategorized,
gait analysis,Uncategorized,
gait analysis,Uncategorized,
cystology and histopath,Uncategorized,
cystology and histopath,Uncategorized,
cystology and histopath,Uncategorized,
cystology and histopath,Uncategorized,
cystology and histopath,Uncategorized,
Acute hepatitis *ICU 7/10*,Uncategorized,
Acute hepatitis *ICU 7/10*,Uncategorized,
Acute hepatitis *ICU 7/10*,Uncategorized,
heavy breathing *ICU 7/10*,Uncategorized,
heavy breathing *ICU 7/10*,Uncategorized,
heavy breathing *ICU 7/10*,Uncategorized,
heavy breathing *ICU 7/10*,Uncategorized,
heavy breathing *ICU 7/10*,Uncategorized,
heavy breathing *ICU 7/10*,Uncategorized,
Ovariectomy,Uncategorized,
Ovariectomy,Uncategorized,
Ovariectomy,Uncategorized,
Ovariectomy,Uncategorized,
Ovariectomy,Uncategorized,
"limping, necrotic tissue",Uncategorized,
"limping, necrotic tissue",Uncategorized,
chest tap,Uncategorized,
chest tap,Uncategorized,
eval: possible laser lithotripsy? (RDVM request)    **ICU: 7/15**,Uncategorized,Urinary Issues
eval: possible laser lithotripsy? (RDVM request)    **ICU: 7/15**,Uncategorized,Urinary Issues
eval: possible laser lithotripsy? (RDVM request)    **ICU: 7/15**,Uncategorized,Urinary Issues
eval: possible laser lithotripsy? (RDVM request)    **ICU: 7/15**,Uncategorized,Urinary Issues
eval: possible laser lithotripsy? (RDVM request)    **ICU: 7/15**,Uncategorized,Urinary Issues
I-131,Uncategorized,
I-131,Uncategorized,
work up kidney failure    **ICU: 7/29**,Uncategorized,
work up kidney failure    **ICU: 7/29**,Uncategorized,
work up kidney failure    **ICU: 7/29**,Uncategorized,
work up kidney failure    **ICU: 7/29**,Uncategorized,
work up kidney failure    **ICU: 7/29**,Uncategorized,
work up kidney failure    **ICU: 7/29**,Uncategorized,
work up kidney failure    **ICU: 7/29**,Uncategorized,
work up kidney failure    **ICU: 7/29**,Uncategorized,
work up kidney failure    **ICU: 7/29**,Uncategorized,
work up kidney failure    **ICU: 7/29**,Uncategorized,
"Thin, not gaining weight",Uncategorized,
"Thin, not gaining weight",Uncategorized,
"Thin, not gaining weight",Uncategorized,
"Thin, not gaining weight",Uncategorized,
"Thin, not gaining weight",Uncategorized,
Screw coming out of leg from TPLO     **ICU: 7/15**,Uncategorized,
Screw coming out of leg from TPLO     **ICU: 7/15**,Uncategorized,
CT **ICU 7/15  JG,Uncategorized,
CT **ICU 7/15  JG,Uncategorized,
CT **ICU 7/15  JG,Uncategorized,
CT **ICU 7/15  JG,Uncategorized,
darbepoietin,Uncategorized,
darbepoietin,Uncategorized,
rapid breathing  **ICU 7/22**,Uncategorized,
rapid breathing  **ICU 7/22**,Uncategorized,
Spraying blood,Uncategorized,
Spraying blood,Uncategorized,
health check,Uncategorized,
health check,Uncategorized,
health check,Uncategorized,
health check,Uncategorized,
health check,Uncategorized,
Down,Uncategorized,
Euth,Uncategorized,
euth,Uncategorized,
euth,Uncategorized,
Resp Issues,Uncategorized,
Resp Issues,Uncategorized,
Resp Issues,Uncategorized,
FPT,Uncategorized,
eval possible ectopic ureter   ***ICU 7/20/16*,Uncategorized,
epidermal blistering disease,Uncategorized,
epidermal blistering disease,Uncategorized,
Eval bronchoscopy,Uncategorized,
Eval bronchoscopy,Uncategorized,
Eval bronchoscopy,Uncategorized,
Eval bronchoscopy,Uncategorized,
Eval bronchoscopy,Uncategorized,
Eval bronchoscopy,Uncategorized,
lab,Uncategorized,
lab,Uncategorized,
lab,Uncategorized,
lab,Uncategorized,
lab,Uncategorized,
Work up Renal failure,Uncategorized,
Work up Renal failure,Uncategorized,
U/A,Uncategorized,
"REF: cyst on rear, causing obstruction *ICU 7/27",Uncategorized,
"REF: cyst on rear, causing obstruction *ICU 7/27",Uncategorized,
"REF: cyst on rear, causing obstruction *ICU 7/27",Uncategorized,
spay stitches are coming undone **ICU 7/24/16**,Uncategorized,
spay stitches are coming undone **ICU 7/24/16**,Uncategorized,
Spinal Injury *ICU 7/26,Uncategorized,
detached retinas     **ICU: 7/28,Uncategorized,
detached retinas     **ICU: 7/28,Uncategorized,
detached retinas     **ICU: 7/28,Uncategorized,
detached retinas     **ICU: 7/28,Uncategorized,
detached retinas     **ICU: 7/28,Uncategorized,
detached retinas     **ICU: 7/28,Uncategorized,
kidney failure*ICU 7/31*,Uncategorized,
kidney failure*ICU 7/31*,Uncategorized,
ear polyp removal,Uncategorized,
MRI *ICU 7/27,Uncategorized,
MRI *ICU 7/27,Uncategorized,
pyoderma,Uncategorized,
possible ectopic ureter,Uncategorized,
hypoglycemic     **ICU: 8/3**,Uncategorized,
hypoglycemic     **ICU: 8/3**,Uncategorized,
hypoglycemic     **ICU: 8/3**,Uncategorized,
hypoglycemic     **ICU: 8/3**,Uncategorized,
diabetic and in renal failure      **ICU 8/6**,Uncategorized,
diabetic and in renal failure      **ICU 8/6**,Uncategorized,
REF: possible menengitis     **ICU: 7/29**,Uncategorized,
REF: possible menengitis     **ICU: 7/29**,Uncategorized,
explant of TTA implant,Uncategorized,
explant of TTA implant,Uncategorized,
Possible Ectopic ureters,Uncategorized,
Possible Ectopic ureters,Uncategorized,
"EVAL, urethral stones *ICU 7/31*",Uncategorized,Urinary Issues
"EVAL, urethral stones *ICU 7/31*",Uncategorized,Urinary Issues
"EVAL, urethral stones *ICU 7/31*",Uncategorized,Urinary Issues
urinating blood,Uncategorized,
urinating blood,Uncategorized,
urinating blood,Uncategorized,
urinating blood,Uncategorized,
urinating blood,Uncategorized,
urinating blood,Uncategorized,
urinating blood,Uncategorized,
Frequent urination,Uncategorized,
Frequent urination,Uncategorized,
"attempting to urinate, and droplets of blood found on carpet",Uncategorized,
bacterial dermatitis,Uncategorized,
bacterial dermatitis,Uncategorized,
possible slipped disk,Uncategorized,
possible slipped disk,Uncategorized,
possible stones,Uncategorized,Urinary Issues
possible stones,Uncategorized,Urinary Issues
Uterine Torsion,Uncategorized,
eval hyperparathyroidism,Uncategorized,
eval hyperparathyroidism,Uncategorized,
PARR testing       **ICU 8/8**,Uncategorized,
PARR testing       **ICU 8/8**,Uncategorized,
FB in right front pastern,Uncategorized,
FB in right front pastern,Uncategorized,
Allergies,Uncategorized,
Allergies,Uncategorized,
Eval TECA      **ICU 8/10**,Uncategorized,HEENT
Eval TECA      **ICU 8/10**,Uncategorized,HEENT
Eval TECA      **ICU 8/10**,Uncategorized,HEENT
Eval TECA      **ICU 8/10**,Uncategorized,HEENT
Eval TECA      **ICU 8/10**,Uncategorized,HEENT
ACTH stim test     **ICU 8/8**,Uncategorized,
ACTH stim test     **ICU 8/8**,Uncategorized,
Caught in fan belt *ICU 8/15*,Uncategorized,
Caught in fan belt *ICU 8/15*,Uncategorized,
Caught in fan belt *ICU 8/15*,Uncategorized,
Caught in fan belt *ICU 8/15*,Uncategorized,
Right ACL,Uncategorized,
Right ACL,Uncategorized,
Right ACL,Uncategorized,
Environmental Cultures,Uncategorized,
Environmental Cultures,Uncategorized,
Environmental Cultures,Uncategorized,
Environmental Cultures,Uncategorized,
Osteochondrosis,Uncategorized,
Osteochondrosis,Uncategorized,
Osteochondrosis,Uncategorized,
Sub flush,Uncategorized,
Sub flush,Uncategorized,
Hole next to incision site     **ICU 8/19/16**,Uncategorized,
Hole next to incision site     **ICU 8/19/16**,Uncategorized,
Hole next to incision site     **ICU 8/19/16**,Uncategorized,
Hole next to incision site     **ICU 8/19/16**,Uncategorized,
Hole next to incision site     **ICU 8/19/16**,Uncategorized,
Hole next to incision site     **ICU 8/19/16**,Uncategorized,
Sub flush,Uncategorized,
Sub flush,Uncategorized,
CKD onco client,Uncategorized,
CKD onco client,Uncategorized,
"losing weight, no appetite      **ICU 8/16**",Uncategorized,
"losing weight, no appetite      **ICU 8/16**",Uncategorized,
"losing weight, no appetite      **ICU 8/16**",Uncategorized,
unable to walk,Uncategorized,
unable to walk,Uncategorized,
unable to walk,Uncategorized,
Eval sub system /kidney function,Uncategorized,
Eval sub system /kidney function,Uncategorized,
eval- chronic KCS,Uncategorized,
eval- chronic KCS,Uncategorized,
BGC,Uncategorized,
BGC,Uncategorized,
cyst on head     **ICU 8/18**,Uncategorized,
cyst on head     **ICU 8/18**,Uncategorized,
cyst on head     **ICU 8/18**,Uncategorized,
Possible Heat Exhaustion,Uncategorized,
Possible Heat Exhaustion,Uncategorized,
Rear paresis      **Tech: Brit**,Uncategorized,
UA and culture    **Tech:  Katie**,Uncategorized,
Foal for necropsy,Uncategorized,
Ear culture- vestibular disease,Uncategorized,
Ear culture- vestibular disease,Uncategorized,
Urethrorectal fistula *ICU 8/21*,Uncategorized,
Urethrorectal fistula *ICU 8/21*,Uncategorized,
Urethrorectal fistula *ICU 8/21*,Uncategorized,
Urethrorectal fistula *ICU 8/21*,Uncategorized,
Urethrorectal fistula *ICU 8/21*,Uncategorized,
consult and start RT,Uncategorized,
Eval trouble with rear legs since 12/15       **Tech: Brit,Uncategorized,
Eval trouble with rear legs since 12/15       **Tech: Brit,Uncategorized,
environmental cultures,Uncategorized,
environmental cultures,Uncategorized,
environmental cultures,Uncategorized,
environmental cultures,Uncategorized,
environmental cultures,Uncategorized,
environmental cultures,Uncategorized,
environmental cultures,Uncategorized,
environmental cultures,Uncategorized,
HBC ICU: 8/25,Uncategorized,
HBC ICU: 8/25,Uncategorized,
HBC ICU: 8/25,Uncategorized,
REFERRAL: kidney failure,Uncategorized,
REFERRAL: kidney failure,Uncategorized,
Losing weight,Uncategorized,
Losing weight,Uncategorized,
Losing weight,Uncategorized,
urination issues,Uncategorized,
DOA,Uncategorized,
DOA,Uncategorized,
"REFERRAL: blockage, kidney failure",Uncategorized,
Trouble urinating *ICU: 8/23,Uncategorized,
Kidney stones ICU: 8/26,Uncategorized,Urinary Issues
Kidney stones ICU: 8/26,Uncategorized,Urinary Issues
Kidney stones ICU: 8/26,Uncategorized,Urinary Issues
environmental cultures,Uncategorized,
environmental cultures,Uncategorized,
I-131 Hyperthyrodism,Uncategorized,
I-131 Hyperthyrodism,Uncategorized,
PT,Uncategorized,
PT,Uncategorized,
"Eval, newly diagnosed diabetic",Uncategorized,
"Eval, newly diagnosed diabetic",Uncategorized,
paraprosticular cyst and retained testicle ICU: 8/30,Uncategorized,
paraprosticular cyst and retained testicle ICU: 8/30,Uncategorized,
paraprosticular cyst and retained testicle ICU: 8/30,Uncategorized,
paraprosticular cyst and retained testicle ICU: 8/30,Uncategorized,
paraprosticular cyst and retained testicle ICU: 8/30,Uncategorized,
paraprosticular cyst and retained testicle ICU: 8/30,Uncategorized,
urethral obstruction,Uncategorized,Urinary Issues
urethral obstruction,Uncategorized,Urinary Issues
urethral obstruction,Uncategorized,Urinary Issues
urethral obstruction,Uncategorized,Urinary Issues
Stone blockage ICU: 8/26,Uncategorized,Urinary Issues
Stone blockage ICU: 8/26,Uncategorized,Urinary Issues
15 stones in uretra ICU: 8/25,Uncategorized,Urinary Issues
15 stones in uretra ICU: 8/25,Uncategorized,Urinary Issues
Can't walk lower half *icu 8/27*,Uncategorized,
Physical Exam,Uncategorized,
Cultures,Uncategorized,
Cultures,Uncategorized,
meds,Uncategorized,
meds,Uncategorized,
"disoriented, possible stroke  ICU 8/29",Uncategorized,
"disoriented, possible stroke  ICU 8/29",Uncategorized,
Blocked pig,Uncategorized,
Blocked pig,Uncategorized,
Blocked pig,Uncategorized,
Blocked pig,Uncategorized,
Blocked pig,Uncategorized,
Blocked pig,Uncategorized,
trouble urinating *ICU: 8/29,Uncategorized,
trouble urinating *ICU: 8/29,Uncategorized,
TPLO,Uncategorized,
TPLO,Uncategorized,
uveitis,Uncategorized,
uveitis,Uncategorized,
uveitis,Uncategorized,
uveitis,Uncategorized,
Status Exam,Uncategorized,
Status Exam,Uncategorized,
I-131 Hyperthyroidism,Uncategorized,
I-131 Hyperthyroidism,Uncategorized,
lab work,Uncategorized,
miringotomy *ICU: 9/7,Uncategorized,
miringotomy *ICU: 9/7,Uncategorized,
miringotomy *ICU: 9/7,Uncategorized,
Breathing issues  **ICU 9/5/16**,Uncategorized,
Breathing issues  **ICU 9/5/16**,Uncategorized,
Breathing issues  **ICU 9/5/16**,Uncategorized,
Breathing issues  **ICU 9/5/16**,Uncategorized,
Work up,Uncategorized,
Work up,Uncategorized,
Work up,Uncategorized,
Work up,Uncategorized,
peeing blood,Uncategorized,
peeing blood,Uncategorized,
Heat stroke *ICU 9/4*,Uncategorized,
Heat stroke *ICU 9/4*,Uncategorized,
Wheezing *ICU 9/3/2016*,Uncategorized,
Wheezing *ICU 9/3/2016*,Uncategorized,
Wheezing *ICU 9/3/2016*,Uncategorized,
Wheezing *ICU 9/3/2016*,Uncategorized,
Pleural effusion **ICU 9/4/16**,Uncategorized,
Pleural effusion **ICU 9/4/16**,Uncategorized,
Pleural effusion **ICU 9/4/16**,Uncategorized,
Pleural effusion **ICU 9/4/16**,Uncategorized,
Remove ot plate and screw R forelimb,Uncategorized,
Remove ot plate and screw R forelimb,Uncategorized,
Remove ot plate and screw R forelimb,Uncategorized,
environmental cultures,Uncategorized,
environmental cultures,Uncategorized,
environmental cultures,Uncategorized,
environmental cultures,Uncategorized,
Poss renal failure *ICU 9/6/2016*,Uncategorized,
Poss renal failure *ICU 9/6/2016*,Uncategorized,
Dyspnic referral  **ICU 9/8/16**,Uncategorized,
Dyspnic referral  **ICU 9/8/16**,Uncategorized,
Dyspnic referral  **ICU 9/8/16**,Uncategorized,
Dyspnic referral  **ICU 9/8/16**,Uncategorized,
Dyspnic referral  **ICU 9/8/16**,Uncategorized,
Dyspnic referral  **ICU 9/8/16**,Uncategorized,
"pooling blood, pale in the mouth",Uncategorized,
environmental cultures,Uncategorized,
environmental cultures,Uncategorized,
environmental cultures,Uncategorized,
environmental cultures,Uncategorized,
environmental cultures,Uncategorized,
environmental cultures,Uncategorized,
ureteral stent placement  **ICU 9/10/16**,Uncategorized,
ureteral stent placement  **ICU 9/10/16**,Uncategorized,
ureteral stent placement  **ICU 9/10/16**,Uncategorized,
ureteral stent placement  **ICU 9/10/16**,Uncategorized,
ureteral stent placement  **ICU 9/10/16**,Uncategorized,
eval. GI issues,Uncategorized,
eval. GI issues,Uncategorized,
HBC    * ICU 9/17*,Uncategorized,
HBC    * ICU 9/17*,Uncategorized,
HBC    * ICU 9/17*,Uncategorized,
HBC    * ICU 9/17*,Uncategorized,
HBC    * ICU 9/17*,Uncategorized,
bgc,Uncategorized,
bgc,Uncategorized,
bgc,Uncategorized,
sx-bilateral elbow arthroscopy ICU: 9/8,Uncategorized,
sx-bilateral elbow arthroscopy ICU: 9/8,Uncategorized,
sx-bilateral elbow arthroscopy ICU: 9/8,Uncategorized,
ESWL on 9/8,Uncategorized,
possible bloat,Uncategorized,
possible bloat,Uncategorized,
U/C,Uncategorized,
U/C,Uncategorized,
U/C,Uncategorized,
cysto,Uncategorized,
constipated  **ICU 9/11**,Uncategorized,
constipated  **ICU 9/11**,Uncategorized,
Scotty screening *Tech: Linz,Uncategorized,
Scotty screening *Tech: Linz,Uncategorized,
Dead on arrival,Uncategorized,
Dead on arrival,Uncategorized,
Dead on arrival,Uncategorized,
"severe IBS, not eaten in 5 days*iCU 10/1*",Uncategorized,
"severe IBS, not eaten in 5 days*iCU 10/1*",Uncategorized,
"severe IBS, not eaten in 5 days*iCU 10/1*",Uncategorized,
"severe IBS, not eaten in 5 days*iCU 10/1*",Uncategorized,
"eval, renoliths & cystic calculi",Uncategorized,
"eval, renoliths & cystic calculi",Uncategorized,
Ectopic ureter,Uncategorized,
Ectopic ureter,Uncategorized,
Ectopic ureter,Uncategorized,
Ectopic ureter,Uncategorized,
"urinated/defecated on himself, tremors",Uncategorized,
"urinated/defecated on himself, tremors",Uncategorized,
Eval posterior paresis,Uncategorized,
sx,Uncategorized,
sx,Uncategorized,
sx,Uncategorized,
chronic nose bleeds    **ICU 9/15**,Uncategorized,
chronic nose bleeds    **ICU 9/15**,Uncategorized,
"down in rear, started yesterday, incontinent",Uncategorized,
"down in rear, started yesterday, incontinent",Uncategorized,
possible stroke,Uncategorized,
possible stroke,Uncategorized,
possible stroke,Uncategorized,
cystocentesis and radiographs,Uncategorized,
cystocentesis and radiographs,Uncategorized,
Eval. grade III murmur,Uncategorized,
Eval. grade III murmur,Uncategorized,
Work up ectopic ureter  *9/17*,Uncategorized,
Work up ectopic ureter  *9/17*,Uncategorized,
UA/systo,Uncategorized,
UA/systo,Uncategorized,
lump on shoulder,Uncategorized,
lump on shoulder,Uncategorized,
ectopic ureter,Uncategorized,
ectopic ureter,Uncategorized,
ectopic ureter,Uncategorized,
ectopic ureter,Uncategorized,
ate a bone yesterday,Uncategorized,
ate a bone yesterday,Uncategorized,
ate a bone yesterday,Uncategorized,
ate a bone yesterday,Uncategorized,
ate a bone yesterday,Uncategorized,
ate a bone yesterday,Uncategorized,
meds SAR,Uncategorized,
Eval. stones in kidneys,Uncategorized,Urinary Issues
Eval. stones in kidneys,Uncategorized,Urinary Issues
blood work for possible hyperthyroidism,Uncategorized,
blood work for possible hyperthyroidism,Uncategorized,
RT #3,Uncategorized,
Re-implantation *ICU 9/24*,Uncategorized,
Re-implantation *ICU 9/24*,Uncategorized,
Re-implantation *ICU 9/24*,Uncategorized,
kidney stone,Uncategorized,Urinary Issues
kidney stone,Uncategorized,Urinary Issues
Collapsed trachea *ICU 9/22*,Uncategorized,
Collapsed trachea *ICU 9/22*,Uncategorized,
complications from neuter,Uncategorized,
complications from neuter,Uncategorized,
complications from neuter,Uncategorized,
ectopic ureter,Uncategorized,
ectopic ureter,Uncategorized,
re-eval left stifle,Uncategorized,
re-eval left stifle,Uncategorized,
Eval for poss ectopic ureter,Uncategorized,
UA and culture,Uncategorized,
labwork,Uncategorized,
labwork,Uncategorized,
labwork,Uncategorized,
labwork,Uncategorized,
Environmental cultures,Uncategorized,
Environmental cultures,Uncategorized,
Environmental cultures,Uncategorized,
Environmental cultures,Uncategorized,
seizure like activity *ICU 9/27*,Uncategorized,
seizure like activity *ICU 9/27*,Uncategorized,
Euth and Necropsy,Uncategorized,
REF: anemic     **ICU: 9/30,Uncategorized,
REF: anemic     **ICU: 9/30,Uncategorized,
REF: anemic     **ICU: 9/30,Uncategorized,
REF: anemic     **ICU: 9/30,Uncategorized,
hit by car or animal attack? *ICU 9-29*,Uncategorized,
hit by car or animal attack? *ICU 9-29*,Uncategorized,
hit by car or animal attack? *ICU 9-29*,Uncategorized,
recommended through VCA  wanted second opinion  ***ICU 10/2/16**,Uncategorized,
recommended through VCA  wanted second opinion  ***ICU 10/2/16**,Uncategorized,
recommended through VCA  wanted second opinion  ***ICU 10/2/16**,Uncategorized,
recommended through VCA  wanted second opinion  ***ICU 10/2/16**,Uncategorized,
recommended through VCA  wanted second opinion  ***ICU 10/2/16**,Uncategorized,
recommended through VCA  wanted second opinion  ***ICU 10/2/16**,Uncategorized,
recommended through VCA  wanted second opinion  ***ICU 10/2/16**,Uncategorized,
recommended through VCA  wanted second opinion  ***ICU 10/2/16**,Uncategorized,
recommended through VCA  wanted second opinion  ***ICU 10/2/16**,Uncategorized,
possibly blocked      **ICU: 9/30,Uncategorized,
possibly blocked      **ICU: 9/30,Uncategorized,
Debride SX in May,Uncategorized,
TECA,Uncategorized,HEENT
TECA,Uncategorized,HEENT
U/A,Uncategorized,
U/A,Uncategorized,
Sequestrum,Uncategorized,
limping,Uncategorized,
limping,Uncategorized,
Respiratory distress,Uncategorized,
Respiratory distress,Uncategorized,
Respiratory distress,Uncategorized,
urinating blood,Uncategorized,
urinating blood,Uncategorized,
"blockage, (temper problems)  **ICU 10/2/16**",Uncategorized,
"blockage, (temper problems)  **ICU 10/2/16**",Uncategorized,
"good sam drop off, injured leg",Uncategorized,
paniful when chewing  *ICU 10*/5*,Uncategorized,
paniful when chewing  *ICU 10*/5*,Uncategorized,
paniful when chewing  *ICU 10*/5*,Uncategorized,
paniful when chewing  *ICU 10*/5*,Uncategorized,
paniful when chewing  *ICU 10*/5*,Uncategorized,
paniful when chewing  *ICU 10*/5*,Uncategorized,
paniful when chewing  *ICU 10*/5*,Uncategorized,
paniful when chewing  *ICU 10*/5*,Uncategorized,
enlarged prostate *Student Mike,Uncategorized,
enlarged prostate *Student Mike,Uncategorized,
meds,Uncategorized,
meds,Uncategorized,
meds,Uncategorized,
CT scan,Uncategorized,
