Organism,Count,R,S,I,NI,NA_Count,Drug,Dominant_Category
BACILLUS MEGATERIUM,10,0,1,0,0,9,Bacitracin,S
BACILLUS THURINGIENSIS,6,0,0,0,0,6,Bacitracin,Tie
OCHROBACTRUM INTERMEDIUM,2,0,0,0,0,2,Bacitracin,Tie
BERGEYELLA ZOOHELCUM,2,0,0,0,0,2,Bacitracin,Tie
ROTHIA SP.,6,0,1,0,0,5,Bacitracin,S
KLEBSIELLA VARIICOLA,16,0,0,0,0,16,Bacitracin,Tie
CITROBACTER SEDLAKII,5,0,0,0,0,5,Bacitracin,Tie
BACILLUS PUMILUS,5,0,0,0,0,5,Bacitracin,Tie
EIKENELLA CORRODENS,3,0,0,0,0,3,Bacitracin,Tie
MORAXELLA BOVOCULI,5,0,0,0,0,5,Bacitracin,Tie
PSEUDOMONAS OTITIDIS,1,0,0,0,0,1,Bacitracin,Tie
MANNHEIMIA VARIGENA,1,0,0,0,0,1,Bacitracin,Tie
STAPHYLOCOCCUS DELPHINI,11,0,0,0,0,11,Bacitracin,Tie
STREPTOCOCCUS MINOR,5,0,0,0,0,5,Bacitracin,Tie
CORYNEBACTERIUM AURICANIS,2,0,1,0,0,1,Bacitracin,S
CAPNOCYTOPHAGA OCHRACEA,1,0,0,0,0,1,Bacitracin,Tie
MICROBACTERIUM PARAOXYDANS,2,0,0,0,0,2,Bacitracin,Tie
AEROCOCCUS VIRIDANS,5,0,0,0,0,5,Bacitracin,Tie
UNIDENTIFIED,1,0,0,0,0,1,Bacitracin,Tie
STREPTOCOCCUS HALICHOERI,10,2,1,0,0,7,Bacitracin,R
LACTOBACILLUS SP.,2,0,0,0,0,2,Bacitracin,Tie
CORYNEBACTERIUM BOVIS,3,0,1,0,0,2,Bacitracin,S
RAOULTELLA TERRIGENA,1,0,0,0,0,1,Bacitracin,Tie
STAPHYLOCOCCUS SCHLEIFERI COAGULASE CULTURE NEGATIVE,1,0,0,0,0,1,Bacitracin,Tie
STREPTOCOCCUS GALLOLYTICUS,8,0,0,0,0,8,Bacitracin,Tie
ENTEROCOCCUS CASSELIFLAVUS,5,0,0,0,0,5,Bacitracin,Tie
PROTEUS HAUSERI,17,2,0,0,0,15,Bacitracin,R
STAPHYLOCOCCUS AUREUS,144,5,0,0,0,139,Bacitracin,R
DELFTIA ACIDOVORANS,2,0,0,0,0,2,Bacitracin,Tie
SALMONELLA SP. GROUP D,10,0,0,0,0,10,Bacitracin,Tie
AVIBACTERIUM ENDOCARDITIDIS,1,0,0,0,0,1,Bacitracin,Tie
PLURALIBACTER GERGOVIAE,3,0,0,0,0,3,Bacitracin,Tie
KOCURIA VARIANS,1,0,0,0,0,1,Bacitracin,Tie
CHRYSEOBACTERIUM GLEUM,2,0,0,0,0,2,Bacitracin,Tie
AEROMONAS MEDIA,1,0,0,0,0,1,Bacitracin,Tie
KOCURIA ROSEA,1,0,0,0,0,1,Bacitracin,Tie
ESCHERICHIA VULNERIS,2,0,0,0,0,2,Bacitracin,Tie
SALMONELLA SP. GROUP 18,3,0,0,0,0,3,Bacitracin,Tie
PSEUDOMONAS ORYZIHABITANS,2,0,0,0,0,2,Bacitracin,Tie
ARCANOBACTERIUM CANIS,4,1,0,0,0,3,Bacitracin,R
STREPTOCOCCUS LUTIENSIS,1,0,0,0,0,1,Bacitracin,Tie
LACTOBACILLUS SALIVARIUS,1,0,0,0,0,1,Bacitracin,Tie
CORYNEBACTERIUM DIPTHERIAE,1,0,0,0,0,1,Bacitracin,Tie
CANIBACTER ORIS,2,0,0,0,0,2,Bacitracin,Tie
LACTOBACILLUS JOHNSONII,1,0,0,0,0,1,Bacitracin,Tie
LACTOBACILLUS REUTERI,2,0,0,0,0,2,Bacitracin,Tie
MORAXELLA OSLOENSIS,1,0,0,0,0,1,Bacitracin,Tie
LEUCONOSTOC LACTIS,1,0,0,0,0,1,Bacitracin,Tie
STREPTOCOCCUS LUTETIENSIS,2,0,0,0,0,2,Bacitracin,Tie
BACILLUS SUBTILIS,1,0,0,0,0,1,Bacitracin,Tie
STAPHYLOCOCCUS COAGULASE CULTURE NEGATIVE SP.,1,0,0,0,0,1,Bacitracin,Tie
PAENIBACILLUS HUMICUS,1,0,0,0,0,1,Bacitracin,Tie
MORAXELLA CANIS,7,1,0,0,0,6,Bacitracin,R
CAPNOCYTOPHAGA SP.,2,0,0,0,0,2,Bacitracin,Tie
BACILLUS MYCOIDES,1,0,0,0,0,1,Bacitracin,Tie
MORGANELLA MORGANI,2,0,0,0,0,2,Bacitracin,Tie
PEDIOCOCCUS ACIDILACTICI,1,0,0,0,0,1,Bacitracin,Tie
WEISELLA SP.,2,0,1,0,0,1,Bacitracin,S
LYSINIBACILLUS SP.,1,0,0,0,0,1,Bacitracin,Tie
MICROBACTERIUM PARAOXYDAS,1,0,0,0,0,1,Bacitracin,Tie
STREPTOCOCCUS SP. GP. C,1,0,0,0,0,1,Bacitracin,Tie
ARCANOBACTERIUM SP.,11,1,2,0,0,8,Bacitracin,S
STAPHYLOCOCCUS SCHLEIFERI-COAG CULTURE NEGATIVE,1,0,0,0,0,1,Bacitracin,Tie
STAPHYLOCOCCUS SCHLEIFERI-COAG POSITIVE,1,1,0,0,0,0,Bacitracin,R
DERMACOCCUS SP.,1,0,0,0,0,1,Bacitracin,Tie
HAEMOPHILUS HAEMOGLOBINOPHILIS,1,0,0,0,0,1,Bacitracin,Tie
ENTEROCOCCUS MUNDTII,2,0,0,0,0,2,Bacitracin,Tie
STREPTOCOCCUS MITIS,2,0,0,0,0,2,Bacitracin,Tie
KOCURIA SP.,1,0,0,0,0,1,Bacitracin,Tie
LELLIOTTIA AMNIGENA,1,0,0,0,0,1,Bacitracin,Tie
ACINETOBACTERER JUNII,2,0,0,0,0,2,Bacitracin,Tie
KOCURIA KRISTINAE,1,0,0,0,0,1,Bacitracin,Tie
MACROCOCCUS CASEOLYTICUS,1,0,0,0,0,1,Bacitracin,Tie
PASTEURELLA MAIRII,1,0,0,0,0,1,Bacitracin,Tie
STAPHYLOCOCCUS COAG CULTURE NEGATIVE,1,0,0,0,0,1,Bacitracin,Tie
SERRATIA FONTICOLA,2,0,0,0,0,2,Bacitracin,Tie
LEUCONOSTOC SP.,1,0,0,0,0,1,Bacitracin,Tie
LYSINIBACILLUS FUSIFORMIS,1,0,0,0,0,1,Bacitracin,Tie
GRAMNEGATIVE COCCI,1,0,0,0,0,1,Bacitracin,Tie
BREVIBACTERIUM SP.,1,0,0,0,0,1,Bacitracin,Tie
STREPTOCOCCUS ANGINOSUS,1,0,0,0,0,1,Bacitracin,Tie
STREPTOCOCCUS SUIS 2/4/33/34,1,0,0,0,0,1,Bacitracin,Tie
PAENIBACILLUS SP.,7,1,0,0,0,6,Bacitracin,R
GRAMPOSITIVE BRANCHING ROD,2,0,0,0,0,2,Bacitracin,Tie
CHRYSEOBACTERIUM SP.,2,0,0,0,0,2,Bacitracin,Tie
ACTINOBACILLUS EQUULI,9,1,0,0,0,8,Bacitracin,R
STAPHYLOCOCCUS HOMINIS SS HOMINIS,1,0,0,0,0,1,Bacitracin,Tie
TRUEPERELLA BERNARDIAE,3,0,0,0,0,3,Bacitracin,Tie
CITROBACTER FARMERI,2,0,0,0,0,2,Bacitracin,Tie
ENTEROCOCCUS CANINESTINI,1,0,0,0,0,1,Bacitracin,Tie
STREPTOCOCCUS DYS. SS DYSGALACTIAE,11,0,1,0,0,10,Bacitracin,S
SALMONELLA GROUP - C1,1,0,0,0,0,1,Bacitracin,Tie
VIBRIO CHOLERAE,1,0,0,0,0,1,Bacitracin,Tie
GEMELLA CUNICULIS,1,0,0,0,0,1,Bacitracin,Tie
SALMONELLA GROUP - C2,1,0,0,0,0,1,Bacitracin,Tie
PSEUDOMONAS LUTEOLA,1,0,0,0,0,1,Bacitracin,Tie
STENOTROPHOMONAS SP.,1,0,0,0,0,1,Bacitracin,Tie
STREPTOCOCCUS SUIS,1,0,0,0,0,1,Bacitracin,Tie
STREPTOCOCCUS SUIS 16,1,0,0,0,0,1,Bacitracin,Tie
AEROMONAS HYDROPHILA/CAVIAE,2,0,0,0,0,2,Bacitracin,Tie
PROVIDENCIA ALCALIFACIENS,1,0,0,0,0,1,Bacitracin,Tie
STAPHYLOCOCCUS FELIS,32,1,0,0,0,31,Bacitracin,R
YOKENELLA REGENSBURGEI,1,0,0,0,0,1,Bacitracin,Tie
KLEBSIELLA AEROGENES,2,0,0,0,0,2,Bacitracin,Tie
GRANULICATELLA ADIACENS,1,0,0,0,0,1,Bacitracin,Tie
CORYNEBACTERIUM XEROSIS,1,0,0,0,0,1,Bacitracin,Tie
CORYNEBACTERIUM PROPINQUUM,1,0,0,0,0,1,Bacitracin,Tie
KLEBSIELLA (ENTEROBACTER) AEROGENES,1,0,0,0,0,1,Bacitracin,Tie
CAPNOCYTOPHAGA CYNODEGMI,2,0,0,0,0,2,Bacitracin,Tie
ALCALIGENES SP.,1,0,0,0,0,1,Bacitracin,Tie
ACTINOBACILLUS PLEUROPNEUMONIAE,3,0,0,0,0,3,Bacitracin,Tie
ACTINOBACILLUS EQUULI SS HAEMOLYTICUS,1,0,0,0,0,1,Bacitracin,Tie
ENTEROBACTER HORMAECHEI,38,1,0,0,0,37,Bacitracin,R
ACTINOMYCES HYOVAGINALIS,6,0,0,0,0,6,Bacitracin,Tie
AEROMONAS HYDROPHILA COMPLEX,2,0,0,0,0,2,Bacitracin,Tie
STREPTOCOCCUS SUIS XXXIV,2,0,0,0,0,2,Bacitracin,Tie
HAEMOPHILUS HAEMOLYTICUS,1,0,0,0,0,1,Bacitracin,Tie
AEROMONAS HYDROPHILA /CAVIAE,1,0,0,0,0,1,Bacitracin,Tie
ESCHERICHIA COLI - HAEMOLYTIC,1,0,0,0,0,1,Bacitracin,Tie
KOSAKONIA COWANII,1,0,0,0,0,1,Bacitracin,Tie
TRUEPERELLA ABORTISUIS,4,0,0,0,0,4,Bacitracin,Tie
ERYSIPELOTHRIX RHUSIOPATHIAE,1,0,0,0,0,1,Bacitracin,Tie
OCHROBACTRUM ANTHROPI,1,0,0,0,0,1,Bacitracin,Tie
CURTOBACTERIUM SP.,1,0,0,0,0,1,Bacitracin,Tie
MORAXELLAPLURANIMA,2,0,0,0,0,2,Bacitracin,Tie
STREPTOCOCCUS SUIS XIII,1,0,0,0,0,1,Bacitracin,Tie
STAPHYLOCOCCUS COAGULASE-CULTURE NEGATIVE,33,3,0,0,0,30,Bacitracin,R
NEISSERIA MUCOSA,1,0,0,0,0,1,Bacitracin,Tie
TRUEPERELLA PYOGENES (ACTINOMYCES/CORYNEBACTERIUM),37,0,0,0,0,37,Bacitracin,Tie
STREPTOCOCCUS EQUI SPP ZOOEPIDEMICUS,95,4,1,0,0,90,Bacitracin,R
GALLIBACTERIUM ANATIS (PASTEURELLA),1,0,0,0,0,1,Bacitracin,Tie
MORAXELLA OVIS,2,1,0,0,0,1,Bacitracin,R
KLEBSIELLA AEROGENES (ENTEROBACTER),23,0,0,0,0,23,Bacitracin,Tie
STREPTOCOCCUS SP. ALPHA HEMOLYTIC,15,0,0,0,0,15,Bacitracin,Tie
STREPTOCOCCUS PORCINUS,4,0,0,0,0,4,Bacitracin,Tie
MORGANELLA MORGANII (PROTEUS),3,0,0,0,0,3,Bacitracin,Tie
MORGANELLA MORGANII,1,0,0,0,0,1,Bacitracin,Tie
STREPTOCOCCUS EQUI,5,0,0,0,0,5,Bacitracin,Tie
ENTEROCOCUS FAECALIS,1,0,0,0,0,1,Bacitracin,Tie
NOCARDIA SP,1,0,0,0,0,1,Bacitracin,Tie
SALMONELLA SP. GROUP C1/C2,1,0,0,0,0,1,Bacitracin,Tie
SALMONELLA SP. GROUP E1/E4,1,0,0,0,0,1,Bacitracin,Tie
CORYNEBACTERIUM RESISTENS,2,0,0,0,0,2,Bacitracin,Tie
SERRATIA SP.,1,0,0,0,0,1,Bacitracin,Tie
ENTEROBACTER BUGANDENSIS,7,0,0,0,0,7,Bacitracin,Tie
SALMONELLA SP. E1,1,0,0,0,0,1,Bacitracin,Tie
LACTOBACILLUS MURINUS,1,0,0,0,0,1,Bacitracin,Tie
BORDETELLA HINZII,1,0,0,0,0,1,Bacitracin,Tie
RHODOCOCCUS SP.,1,0,0,0,0,1,Bacitracin,Tie
BURKHOLDERIA MULTIVORANS,1,0,0,0,0,1,Bacitracin,Tie
SALMONELLA GROUP C1,1,0,0,0,0,1,Bacitracin,Tie
ACTINOBACILLUS EQUULI SPP EQUULI,2,0,0,0,0,2,Bacitracin,Tie
ENTEROBACTER KOBEI,1,0,0,0,0,1,Bacitracin,Tie
STENOTROPHOMONAS MALTOPHILIA (XANTHOMONAS),3,1,0,0,0,2,Bacitracin,R
PANTOEA AGGLOMERANS (ENTEROBACTER),1,0,0,0,0,1,Bacitracin,Tie
BUCHANANELLA HORDEOVULNERIS,2,0,0,0,0,2,Bacitracin,Tie
ACTINOMYCES BOWDENII,3,0,0,0,0,3,Bacitracin,Tie
ARCANOBACTERIUM HAEMOLYTICUM,1,0,0,0,0,1,Bacitracin,Tie
PSEUDOMONAS ALCALIPHILA,1,0,0,0,0,1,Bacitracin,Tie
SCHAALIA (ACTINOMYCES) CANIS,1,0,0,0,0,1,Bacitracin,Tie
STREPTOCOCCUS DIDELPHIS,1,0,0,0,0,1,Bacitracin,Tie
STAPHYLOCOCCUS SIMULANS,2,0,0,0,0,2,Bacitracin,Tie
SCHAALIA HYOVAGINALIS,6,0,0,0,0,6,Bacitracin,Tie
SALMONELLA SP.GROUP C,1,0,0,0,0,1,Bacitracin,Tie
RHODOCOCCUS HOAGII (RHODOCOCCUS EQUI),2,0,0,0,0,2,Bacitracin,Tie
SALMONELLA C1,1,0,0,0,0,1,Bacitracin,Tie
SALMONELLA 18,1,0,0,0,0,1,Bacitracin,Tie
OLIGELLA URETHRALIS,1,0,0,0,0,1,Bacitracin,Tie
BORDETELLA TREMATUM,1,0,0,0,0,1,Bacitracin,Tie
CORYNEBACTERIUM MASTITIDIS,1,0,0,0,0,1,Bacitracin,Tie
AEROMONAS SALMONICIDA,2,1,0,0,0,1,Bacitracin,R
LACTOCOCCUS LACTIS,1,0,0,0,0,1,Bacitracin,Tie
PROVIDENCIA RETTGERI (PROTEUS),3,0,0,0,0,3,Bacitracin,Tie
SCHAALIA CANIS,5,0,1,0,0,4,Bacitracin,S
SCHAALIA (ACTINOMYCES) HYOVAGINALIS,1,0,0,0,0,1,Bacitracin,Tie
FLAVOBACTERIUM SP.,1,0,0,0,0,1,Bacitracin,Tie
HISTOPHILUS SOMNI (HAEMOPHILUS SOMNUS),1,0,0,0,0,1,Bacitracin,Tie
PANTOEA EUCRINA,1,0,0,0,0,1,Bacitracin,Tie
ACTINOBACILLUS LIGNIERESII,1,0,0,0,0,1,Bacitracin,Tie
CORYNEBACTERIUM DIPHTHERIAE,1,0,0,0,0,1,Bacitracin,Tie
STAPHYLOCOCCUS SP. COAGULASE-CULTURE NEGATIVE,1,0,0,0,0,1,Bacitracin,Tie
PSEUDOMONAS OLEOVORANS,1,0,0,0,0,1,Bacitracin,Tie
CORYNEBACTERIUM KUTSCHERI,2,0,1,0,0,1,Bacitracin,S
ESCHERICHIA SP.,1,0,0,0,0,1,Bacitracin,Tie
,2,0,0,0,0,2,Bacitracin,Tie
CORYNEBACTERIUM SP.,341,0,1,0,0,340,Cefalexin,S
CULTURE NEGATIVE,39939,0,0,0,0,0,Cefalexin,Tie
GRAMNEGATIVE ROD,66,3,9,0,0,54,Cefalexin,S
ACINETOBACTER BAUMANNII COMPLEX,6,0,0,0,0,6,Cefalexin,Tie
PROTEUS MIRABILIS,654,45,170,62,0,377,Cefalexin,S
STAPHYLOCOCCUS EPIDERMIDIS,23,0,0,0,0,23,Cefalexin,Tie
ENTEROCOCCUS SP.,264,0,0,0,0,264,Cefalexin,Tie
PSEUDOMONAS AERUGINOSA,564,192,2,0,0,370,Cefalexin,R
ESCHERICHIA COLI,2826,293,710,50,0,1773,Cefalexin,S
MORGANELLA MORGANI SS MORGANII,25,11,0,0,0,14,Cefalexin,R
PROTEUS SP.,4,1,0,0,0,3,Cefalexin,R
ALCALIGENES FAECALIS SS FAECALIS,4,0,0,0,0,4,Cefalexin,Tie
STREPTOCOCCUS ALPHA HEMOLYTIC,335,0,1,0,0,334,Cefalexin,S
BACILLUS LENTUS,1,0,0,0,0,1,Cefalexin,Tie
ENTEROBACTER CLOACAE COMPLEX,20,0,0,0,0,20,Cefalexin,Tie
PASTEURELLA MULTOCIDA,160,0,47,0,0,113,Cefalexin,S
PROTEUS VULGARIS,35,5,0,1,0,29,Cefalexin,R
STAPHYLOCOCCUS PSEUDINTERMEDIUS,2157,2,2,0,0,2153,Cefalexin,Tie
STREPTOCOCCUS BETA GROUP - G,5,0,0,0,0,5,Cefalexin,Tie
KLEBSIELLA PNEUMONIAE,174,17,36,1,0,120,Cefalexin,S
LECLERCIA ADECARBOXYLATA,8,0,1,0,0,7,Cefalexin,S
BACILLUS SP.,130,0,1,0,0,129,Cefalexin,S
ESCHERICHIA COLI HAEMOLYTIC,25,0,0,0,0,25,Cefalexin,Tie
AEROCOCCUS SP.,13,0,0,0,0,13,Cefalexin,Tie
STREPTOCOCCUS EQUI SS ZOOEPIDEMICUS,162,0,1,0,0,161,Cefalexin,S
KLEBSIELLA OXYTOCA,72,5,19,0,0,48,Cefalexin,S
PSEUDOMONAS PUTIDA,5,1,0,0,0,4,Cefalexin,R
STAPHYLOCOCCUS AUR. SS AUREUS,134,0,0,0,0,134,Cefalexin,Tie
PSEUDOMONAS MENDOCINA,4,1,0,0,0,3,Cefalexin,R
MICROCOCCUS SP.,17,0,0,0,0,17,Cefalexin,Tie
CITROBACTER KOSERI,18,0,10,0,0,8,Cefalexin,S
STAPHYLOCOCCUS SP.,13,0,0,0,0,13,Cefalexin,Tie
MORGANELLA MORGANI SSP SIBONII,1,0,0,0,0,1,Cefalexin,Tie
ACTINOBACILLUS SUIS,22,0,0,0,0,22,Cefalexin,Tie
ACTINOBACILLUS EQUULI SS EQUULI,21,0,0,0,0,21,Cefalexin,Tie
STREPTOCOCCUS CANIS,777,0,1,0,0,776,Cefalexin,S
PASTEURELLA CANIS,120,0,42,1,0,77,Cefalexin,S
ESCHERICHIA COLI - LACTOSE CULTURE NEGATIVE,1,0,0,0,0,1,Cefalexin,Tie
PSEUDOMONAS STUTZERI,5,1,0,0,0,4,Cefalexin,R
PASTEURELLA PNEUMOTROPICA,9,0,1,0,0,8,Cefalexin,S
MORAXELLA SP.,22,1,7,0,0,14,Cefalexin,S
SPHINGOBACTERIUM SPIRITIVORUM,1,0,0,0,0,1,Cefalexin,Tie
NEISSERIA SP.,24,1,13,0,0,10,Cefalexin,S
NEISSERIA ZOODEGMATIS,9,0,4,0,0,5,Cefalexin,S
PSEUDOMONAS ALCALIGENES,4,0,0,0,0,4,Cefalexin,Tie
AEROMONAS HYDROPHILIA,4,0,0,0,0,4,Cefalexin,Tie
AEROMONAS SP.,6,3,0,0,0,3,Cefalexin,R
BORDETELLA BRONCHISEPTICA,46,16,0,0,0,30,Cefalexin,R
CHRONOBACTER SAKAZAKII GROUP,1,0,0,0,0,1,Cefalexin,Tie
RAOULTELLA ORNITHINOLYTICA,5,0,0,0,0,5,Cefalexin,Tie
PROVIDENCIA RETTGERI,12,5,1,1,0,5,Cefalexin,R
ENTEROCOCCUS FAECIUM,296,1,0,0,0,295,Cefalexin,R
ROTHIA MUCILAGINOSA,3,0,0,0,0,3,Cefalexin,Tie
ENTEROCOCCUS GALLINARUM,5,0,0,0,0,5,Cefalexin,Tie
STAPHYLOCOCCUS COAGULASE CULTURE NEGATIVE GROUP,407,0,0,0,0,407,Cefalexin,Tie
ENTEROCOCCUS FAECALIS,612,3,0,0,0,609,Cefalexin,R
SALMONELLA SP. GROUP B,18,0,0,0,0,18,Cefalexin,Tie
SALMONELLA SP. GROUP C2,9,0,0,0,0,9,Cefalexin,Tie
SERRATIA MARCESCENS,58,20,0,0,0,38,Cefalexin,R
PANTOEA AGGLOMERANS,18,0,5,1,0,12,Cefalexin,S
SPHINGOMONAS PAUCIMOBILIS,7,0,1,0,0,6,Cefalexin,S
ACHROMOBACTER XYLO SS DENITRIFICANS,3,0,0,0,0,3,Cefalexin,Tie
ALPHA STREP NOT SUIS,2,0,0,0,0,2,Cefalexin,Tie
ENTEROCOCCUS DURANS,3,0,0,0,0,3,Cefalexin,Tie
MANNHEIMIA HAEMOLYTICA,18,0,0,0,0,18,Cefalexin,Tie
PASTEURELLA SP.,16,0,4,0,0,12,Cefalexin,S
STREPTOCOCCUS NON-HEMOLYTIC,41,0,0,0,0,41,Cefalexin,Tie
SALMONELLA SP. GROUP C1,14,0,0,0,0,14,Cefalexin,Tie
BURKHOLDERIA CEPACIA GROUP,2,0,0,0,0,2,Cefalexin,Tie
ENTEROCOCCUS AVIUM,16,0,0,0,0,16,Cefalexin,Tie
ENTEROBACTER AEROGENES,33,17,0,0,0,16,Cefalexin,R
ENTEROCOCCUS HIRAE,9,0,0,0,0,9,Cefalexin,Tie
BREVUNDIMONAS VESICULARIS,1,0,0,0,0,1,Cefalexin,Tie
SALMONELLA SP. GROUP E1,38,0,0,0,0,38,Cefalexin,Tie
STAPHYLOCOCCUS COAGULASE POSITIVE GROUP,8,0,0,0,0,8,Cefalexin,Tie
RHODOCOCCUS EQUI,16,0,0,0,0,16,Cefalexin,Tie
HAEMOPHILUS SP.,6,1,2,0,0,3,Cefalexin,S
PSEUDOMONAS SP.,16,4,1,0,0,11,Cefalexin,R
KLEBSIELLA PNEUMONIAE SS PNEUMONIAE,1,0,0,0,0,1,Cefalexin,Tie
ACINETOBACTERER SP.,32,3,3,0,0,26,Cefalexin,Tie
STREPTOCOCCUS BETA GROUP - B,16,0,0,0,0,16,Cefalexin,Tie
STREPTOCOCCUS BETA GROUP - C,23,0,0,0,0,23,Cefalexin,Tie
LACTOBACILLUS ACIDOPHILUS,1,0,0,0,0,1,Cefalexin,Tie
CITROBACTER AMALONATICUS,4,0,2,0,0,2,Cefalexin,S
AEROMONAS CAVIAE,6,2,0,0,0,4,Cefalexin,R
STREPTOCOCCUS EQUI SSP EQUI,43,0,0,0,0,43,Cefalexin,Tie
STREPTOCOCCUS DYS. SS EQUISIMILIS,14,0,0,0,0,14,Cefalexin,Tie
ENTEROBACTER CLOACAE,136,45,0,0,0,91,Cefalexin,R
STAPHYLOCOCCUS CHROMOGENES,5,0,0,0,0,5,Cefalexin,Tie
BRANHAMELLA OVIS,1,0,0,0,0,1,Cefalexin,Tie
STREPTOCOCCUS SUIS V,1,0,0,0,0,1,Cefalexin,Tie
STENOTROPHOMONAS MALTOPHILIA,19,9,0,0,0,10,Cefalexin,R
STAPHYLOCOCCUS SCHLEIFERI SS COAGULANS,9,0,0,0,0,9,Cefalexin,Tie
ACHROMOBACTER SP.,2,0,0,0,0,2,Cefalexin,Tie
CITROBACTER FREUNDII,18,4,2,1,0,11,Cefalexin,R
ESCHERICHIA COLI- LACTOSE NEG.,1,0,0,0,0,1,Cefalexin,Tie
PROVIDENCIA STUARTII,5,3,0,0,0,2,Cefalexin,R
ACHROMOBACTER XYLO SS XYLOSOXIDANS,1,0,0,0,0,1,Cefalexin,Tie
MYROIDES SP.,2,0,0,0,0,2,Cefalexin,Tie
GRAMNEGATIVE ORGANISM,11,0,3,0,0,8,Cefalexin,S
SALMONELLA SP. GROUP E4,3,0,0,0,0,3,Cefalexin,Tie
GRAMPOSITIVE ROD,4,0,0,0,0,4,Cefalexin,Tie
CRONOBACTER SAKAZAKII GROUP,1,0,0,0,0,1,Cefalexin,Tie
NEISSERIA ANIMALORIS,9,0,2,2,0,5,Cefalexin,Tie
STREPTOCOCCUS SP. - NON HEMOLYTIC,1,0,0,0,0,1,Cefalexin,Tie
CORYNEBACTERIUM RENALE,1,0,0,0,0,1,Cefalexin,Tie
TRUEPERELLA PYOGENES,64,0,0,0,0,64,Cefalexin,Tie
ESCHERICHIA FERGUSONII,2,0,0,0,0,2,Cefalexin,Tie
PANTOEA SP.,18,0,6,2,0,10,Cefalexin,S
STAPHYLOCOCCUS SCHLEIFERI,116,0,1,0,0,115,Cefalexin,S
STAPHYLOCOCCUS SP. COAG CULTURE NEGATIVE,1,0,0,0,0,1,Cefalexin,Tie
ENTEROBACTER ASBURIAE,23,7,0,0,0,16,Cefalexin,R
PSEUDOMONAS FLUORESCENS,2,0,0,0,0,2,Cefalexin,Tie
STREPTOCOCCUS BETA HAEMOLYTIC,5,0,0,0,0,5,Cefalexin,Tie
ENTEROBACTER CANCEROGENUS,1,0,0,0,0,1,Cefalexin,Tie
STAPHYLOCOCCUS SCHLEIFERI SS SCHLEIFERI,1,0,0,0,0,1,Cefalexin,Tie
STAPHYLOCOCCUS HYICUS,5,0,0,0,0,5,Cefalexin,Tie
SERRATIA LIQUEFACIENS,2,1,0,0,0,1,Cefalexin,R
BIBERSTEINIA TREHALOSI,12,0,0,0,0,12,Cefalexin,Tie
STREPTOCOCCUS UBERIS,6,0,0,0,0,6,Cefalexin,Tie
"STAPHYLOCOCCUS SCHLEIFERI, COAGULASE POSITIVE",2,0,0,0,0,2,Cefalexin,Tie
CITROBACTER BRAAKII,5,1,0,0,0,4,Cefalexin,R
ACTINOBACILLUS SP.,13,0,0,0,0,13,Cefalexin,Tie
ENTEROBACTER AMNIGENUS,2,0,0,0,0,2,Cefalexin,Tie
STAPHYLOCOCCUS INTERMEDIUS,10,0,0,0,0,10,Cefalexin,Tie
STAPHYLOCOCCUS SCHLEIFERI - COAG POS,37,0,0,0,0,37,Cefalexin,Tie
STAPHYLOCOCCUS SCHLEIFERI - COAG NEG,58,0,0,0,0,58,Cefalexin,Tie
SALMONELLA SP.,81,1,2,0,0,78,Cefalexin,S
COAGULASE NEATIVE STAPHYLOCOCCUS,1,0,0,0,0,1,Cefalexin,Tie
SALMONELLA SP.(POLY A),6,0,0,0,0,6,Cefalexin,Tie
RHIZOBIUM RADIOBACTER,3,0,0,0,0,3,Cefalexin,Tie
KLUYVERA ASCORBATA,1,0,0,0,0,1,Cefalexin,Tie
HAFNIA ALVEI,2,1,0,0,0,1,Cefalexin,R
STAPHYLOCOCCUS SACCHAROLYTICUS,1,0,0,0,0,1,Cefalexin,Tie
RAOULTELLA PLANTICOLA,1,0,0,0,0,1,Cefalexin,Tie
COMAMONAS TESTOSTERONI,1,0,0,0,0,1,Cefalexin,Tie
SERRATIA RUBIDAEA,1,0,0,0,0,1,Cefalexin,Tie
CITROBACTER SP.,2,0,1,0,0,1,Cefalexin,S
PEDIOCOCCUS SP.,1,0,0,0,0,1,Cefalexin,Tie
ACTINOMYCES CANIS,20,0,0,0,0,20,Cefalexin,Tie
GRAMPOSITIVE COCCUS,8,0,0,0,0,8,Cefalexin,Tie
ROTHIA NASIMURIUM,14,0,0,0,0,14,Cefalexin,Tie
STAPHYLOCOCCUS WARNERI,1,0,0,0,0,1,Cefalexin,Tie
ACINETOBACTERER LWOFFI,4,0,1,0,0,3,Cefalexin,S
MICROCOCCUS LUTEUS,14,0,0,0,0,14,Cefalexin,Tie
STREPTOCOCCUS DYS SS DYSGALACTIAE,11,0,0,0,0,11,Cefalexin,Tie
ACTINOBACILLUS UREAE,6,0,0,0,0,6,Cefalexin,Tie
ENTEROCOCCUS CANINTESTINI,15,0,0,0,0,15,Cefalexin,Tie
ENTEROCOCCUS CANIS,4,0,0,0,0,4,Cefalexin,Tie
HISTOPHILUS SOMNI,7,0,0,0,0,7,Cefalexin,Tie
CORYNEBACTERIUM AURISCANIS,72,0,0,0,0,72,Cefalexin,Tie
BACILLUS CEREUS,20,0,0,0,0,20,Cefalexin,Tie
STREPTOCOCCUS AGALACTIAE,10,0,0,0,0,10,Cefalexin,Tie
